"","Tested_model-POOLED_OVERALL"
"npar",42
"fmin",0.371992918791083
"chisq",168.140799293569
"df",62
"pvalue",9.81303927005683e-12
"baseline.chisq",1137.9276663819
"baseline.df",78
"baseline.pvalue",0
"cfi",0.89986033702103
"tli",0.874017843349038
"cfi.robust",0.899763456522117
"tli.robust",0.87389596143105
"nnfi",0.874017843349038
"rfi",0.814107715671076
"nfi",0.85223946630265
"pnfi",0.677421114240568
"ifi",0.901349502750034
"rni",0.89986033702103
"nnfi.robust",0.87389596143105
"rni.robust",0.899763456522117
"logl",-3309.43070321767
"unrestricted.logl",-3225.36030357089
"aic",6702.86140643534
"bic",6846.52387640478
"ntotal",226
"bic2",6713.41566197681
"rmsea",0.0870344346385036
"rmsea.ci.lower",0.0713770235451098
"rmsea.ci.upper",0.102967217573771
"rmsea.ci.level",0.9
"rmsea.pvalue",0.000104008008326995
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.778768893984173
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0871861413090732
"rmsea.ci.lower.robust",0.0714599759156852
"rmsea.ci.upper.robust",0.103186854385438
"rmsea.pvalue.robust",0.000104844902504508
"rmsea.notclose.pvalue.robust",0.782446499338061
"rmr",0.0483618264084874
"rmr_nomean",0.0517006779115023
"srmr",0.0607145145356399
"srmr_bentler",0.0607145145356399
"srmr_bentler_nomean",0.064906221428949
"crmr",0.0648913460042386
"crmr_nomean",0.0700903135991837
"srmr_mplus",0.0607378224846249
"srmr_mplus_nomean",0.0648925200454536
"cn_05",110.385167133523
"cn_01",123.047393168033
"gfi",0.996140031451915
"agfi",0.993525214048374
"pgfi",0.593852711057873
"mfi",0.790709387805228
"ecvi",1.11566725351137
